No,Noun (singular),Gender,Article,Full word,Plural,Meanning  ,Example,Check 1,Check 2,Check 3,,
,Insel,M,der,der Insel,,island,,TRUE,FALSE,FALSE,,
,Fluss,M,der,der Fluss,,river,Ich gehe den Fluss entlang,FALSE,FALSE,FALSE,,No Plural
,Kühlschrank,M,der,der Kühlschrank,,fridge,,TRUE,FALSE,FALSE,,
,Messer,N,das,das Messer,,Bread knife ,,FALSE,FALSE,FALSE,,
,Glas,N,das,das Glas,,Glass,,TRUE,FALSE,FALSE,,
,Toaster,M,der,der Toaster,,Toaster,,TRUE,FALSE,FALSE,,
,Tasser,F,die,die Tasser,,Cup,,TRUE,FALSE,FALSE,,
,Kühlschrank,M,der,der Kühlschrank,,fridge,,TRUE,FALSE,FALSE,,
,Gemüse,F,die,die Gemüse,-,Vegetable,,FALSE,FALSE,FALSE,,
,Obst,F,die,die Obst,- ,Fruit,,FALSE,FALSE,FALSE,,
,mogen,-,, mogen,,tomorrow ,Ich gehe morgen nach Berlin.,FALSE,FALSE,FALSE,,
,morgens,-,, morgens,,in the mornings,Ich trinke morgens Kaffee,FALSE,FALSE,FALSE,,
,Morgen ,M,der,der Morgen ,,morning,Der Morgen ist kalt.,FALSE,FALSE,FALSE,,
,Kleid,N,das,das Kleid,,dress,,FALSE,FALSE,FALSE,,
,Kleidung,F,die,die Kleidung,-,Clothes,,FALSE,FALSE,FALSE,,
,Pullower,M,der,der Pullower,Pullower,sweater,,FALSE,FALSE,FALSE,,
,Mantel,M,der,der Mantel,Mäntel,Coat,,FALSE,FALSE,FALSE,,
,Anzug,M,der,der Anzug,Anzüge,suit,,FALSE,FALSE,FALSE,,
,Schuh,M,der,der Schuh,Schuhe,Shoe,,FALSE,FALSE,FALSE,,
,Handschuh,M,der,der Handschuh,Handschuhe,Glove,,FALSE,FALSE,FALSE,,
,Anschreiben ,,, Anschreiben ,,cover letter,,FALSE,FALSE,FALSE,,
,Lebenslauf,,, Lebenslauf,,"CV, curriculum vitae",,FALSE,FALSE,FALSE,,
,Hund,M,der,der Hund,Hunde,Dog,Der Hund ist nett ,FALSE,FALSE,FALSE,,
,Katze,F,die,die Katze,,Cat,,FALSE,FALSE,FALSE,,
,Bär,M,der,der Bär,,Bear,,FALSE,FALSE,FALSE,,
,Eule,F,die,die Eule,,Owl,Die Eule ist schön ,FALSE,FALSE,FALSE,,
,Hühnchen ,N,das,das Hühnchen ,,"small chicken, meat",,TRUE,FALSE,FALSE,,
,Hähnchen ,N,das,das Hähnchen ,Hähnchen,chicken meat,,TRUE,FALSE,FALSE,,
,Huhn,N,das,das Huhn,Hühner ,Live chicken,,TRUE,FALSE,FALSE,,
,Hähnchenkeule,N,das,das Hähnchenkeule,,chicken drump,,FALSE,FALSE,FALSE,,
,Hähnchenbrust,N,das,das Hähnchenbrust,,Chicken breast,,FALSE,FALSE,FALSE,,
,Hähnchenflügel,N,das,das Hähnchenflügel,,Chicken wing,,FALSE,FALSE,FALSE,,
,Flughafen,M,der,der Flughafen,,Airport,,FALSE,FALSE,FALSE,,
,Flügel,M,der,der Flügel,,wing,,FALSE,FALSE,FALSE,,
,Pizza,F,die,die Pizza,,Pizza,,TRUE,FALSE,FALSE,,
,Ei,N,das,das Ei,,Egg,,TRUE,FALSE,FALSE,,
,Käse,M,der,der Käse,,Cheese,,FALSE,FALSE,FALSE,,
,Salat,M,der,der Salat,,Salat,,FALSE,FALSE,FALSE,,
,Kaffee,M,der,der Kaffee,,Coffee,,FALSE,FALSE,FALSE,,
,Brot,N,das,das Brot,Brötchen,Bread,,FALSE,FALSE,FALSE,,
,Entscheidung,F,die,die Entscheidung,,decision,,FALSE,FALSE,FALSE,,
,Berg,F,die,die Berg,Berge,Mountain,,FALSE,FALSE,FALSE,,
,Tunnel,M,der,der Tunnel,Tunnel,Tunel,,FALSE,FALSE,FALSE,,
,Einfahrt,F,die,die Einfahrt,Einfahrten,"entrance (for vehicles), arriving ",,FALSE,FALSE,FALSE,,
,zuzüglich,,, zuzüglich,,plus,,FALSE,FALSE,FALSE,,
,Kind,N,das,das Kind,Kinder,kid,,FALSE,FALSE,FALSE,,
,Freund,M,der,der Freund,Freunde,friend,,FALSE,FALSE,FALSE,,
,Wasser,N,das,das Wasser,,water,,FALSE,FALSE,FALSE,,
,Mineralwasser,N,das,das Mineralwasser,,Mineral water,,FALSE,FALSE,FALSE,,
,Bank,F,die,die Bank,,bank,,FALSE,FALSE,FALSE,,
,Apotheke,F,die,die Apotheke,,pharmacy,,FALSE,FALSE,FALSE,,
,Tisch,M,der,der Tisch,,Table ,,FALSE,FALSE,FALSE,,
,Krankenkasse,F,die,die Krankenkasse,,hospital cash desk ,,FALSE,FALSE,FALSE,,
,Kasse,F,die,die Kasse,,Cash desk ,,FALSE,FALSE,FALSE,,
,krank,,, krank,,(a)Sick,,FALSE,FALSE,FALSE,,
,Telefonnummer,F,die,die Telefonnummer,,telephone number,,FALSE,FALSE,FALSE,,
,Einladung,F,die,die Einladung,,invitation,,FALSE,FALSE,FALSE,,
,Party,F,die,die Party,,party,,FALSE,FALSE,FALSE,,
,Feier,F,die,die Feier,,invatation,,FALSE,FALSE,FALSE,,
,Sprache,F,die,die Sprache,sprachen,the language,eine Sprache sperchen,FALSE,FALSE,FALSE,,
,Abfahrt,F,die,die Abfahrt,Abfahrte,departure,,FALSE,FALSE,FALSE,,
,Ankunft,F,die,die Ankunft,Ankunftte,Arrival,,FALSE,FALSE,FALSE,,
,Geschenk,N,das,das Geschenk,Geschenke,gift,,FALSE,FALSE,FALSE,,
,Erkältung,F,die,die Erkältung,,a cold,,FALSE,FALSE,FALSE,,
,Bus,M,der,der Bus,Busse,bus,,FALSE,FALSE,FALSE,,
,Straßenbahn,F,die,die Straßenbahn,Straßenbahnen,tram,,FALSE,FALSE,FALSE,,
,Auto,N,das,das Auto,Autos,automibile,,FALSE,FALSE,FALSE,,
,Schrank,M,der,der Schrank,Schränke ,"cupboard, wardrobe, closet",,FALSE,FALSE,FALSE,,
,Schule,F,die,die Schule,,School,,FALSE,FALSE,FALSE,,
,Apotheke,F,die,die Apotheke,,Pharmacy,,FALSE,FALSE,FALSE,,
,Bank,F,die,die Bank,,Bank,,FALSE,FALSE,FALSE,,
,Bushaltestelle,F,die,die Bushaltestelle,,Bus stop,,FALSE,FALSE,FALSE,,
,Kirche,F,die,die Kirche,,church,,FALSE,FALSE,FALSE,,
,Polizei,F,die,die Polizei,,police,,FALSE,FALSE,FALSE,,
,Post,F,die,die Post,,post,,FALSE,FALSE,FALSE,,
,Bahnhof,M,der,der Bahnhof,,gas station,,FALSE,FALSE,FALSE,,
,Supermarkt,M,der,der Supermarkt,,supermarket,,FALSE,FALSE,FALSE,,
,Markt,M,der,der Markt,,Market,,FALSE,FALSE,FALSE,,
,Krankenhaus,N,das,das Krankenhaus,,Hospital,,FALSE,FALSE,FALSE,,
,Hotel,N,das,das Hotel,,Hotel,,FALSE,FALSE,FALSE,,
,Restaurant,N,das,das Restaurant,,restaurant,,FALSE,FALSE,FALSE,,
,Büro,N,das,das Büro,,"Office, office staff/employees",,FALSE,FALSE,FALSE,,
,Wand,M,der,der Wand,,The wall,an der Wand = on the wall ,FALSE,FALSE,FALSE,,
,Kreuzung,F,die,die Kreuzung,Kreuzungen,"crossroad, cross, intersection, crossing",,FALSE,FALSE,FALSE,,
,Ampel,F,die,die Ampel,Ampeln,Traffic light,,FALSE,FALSE,FALSE,,
,Spielgel,M,der,der Spielgel,Spielgel,Mirror,,FALSE,FALSE,FALSE,,
,Durchsage,F,die,die Durchsage,Durchsagen,"anouncement, message",,FALSE,FALSE,FALSE,,
,Nachricht,F,die,die Nachricht,Nachrichten,news,,FALSE,FALSE,FALSE,,
,Bleistift,M,der,der Bleistift,Bleistifte,pencil,,FALSE,FALSE,FALSE,,
,Meer,N,das,das Meer,Meere,"sea, ocean",,FALSE,FALSE,FALSE,,
,Ausweis,M,der,der Ausweis,Ausweise,ID card,,FALSE,FALSE,FALSE,,
,Haustier,N,das,das Haustier,Haustiere,Pet,,FALSE,FALSE,FALSE,,
,Tier,N,das,das Tier,Tiere,Animal,,FALSE,FALSE,FALSE,,
,Torte,F,die,die Torte,Torten,Cake,,FALSE,FALSE,FALSE,,
,,,, ,,,,FALSE,FALSE,FALSE,,